PID,Titel  (this column will be ignored),document type,URL,enabled
1663,Abramovic Marina - Double Edge,data,https://smak.be/nl/collectie/de-smak-collectie/1663,1
1667,Accardi Carla - In Gent we opened a window,data,https://smak.be/nl/collectie/de-smak-collectie/1667,1
